sites,transfer,base_delta,sensitivity_delta,base_pee,sensitivity_pee,base_price_emissions,sensitivity_price_emissions,year,base_z_share_pct,sensitivity_z_share_pct,diff_z_share_pp,base_capture_gt,sensitivity_capture_gt,diff_capture_gt,base_net_transfer,sensitivity_net_transfer,diff_net_transfer
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,2,11.325250189615724,10.972097033346607,-0.3531531562691175,-0.12348442775490298,0.14976642132910456,0.27325084908400754,1.7326533303760945,2.6869785064116036,0.9543251760355091
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,3,10.02918766646484,9.564137719641304,-0.4650499468235356,0.13259114825643792,0.49743463275493127,0.36484348449849335,3.2452670484067547,4.039942703377205,0.7946756549704506
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,4,8.900286977383539,8.353334259400118,-0.5469527179834213,0.5306068485815842,0.9704017514096961,0.43979490282811184,4.479951714884203,4.986602977057048,0.506651262172845
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,5,7.914017805932206,7.303707758889427,-0.6103100470427787,1.0439474657035532,1.5293682109140434,0.48542074521049017,5.1749342826378335,5.61673736268726,0.4418030800494268
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,6,7.057178684012065,6.396095715217445,-0.66108296879462,1.619711483866297,2.14385402507736,0.524142541211063,5.631061530565696,6.053900044401943,0.42283851383624693
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,7,6.319907765434876,5.620612656153559,-0.6992951092813167,2.235000636686408,2.795653002526791,0.560652365840383,5.9823853732572365,6.309889798945827,0.3275044256885904
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,8,5.6892105943373155,4.9558141260485415,-0.7333964682887739,2.8802145550014586,3.467561764317878,0.5873472093164196,6.190898548267532,6.508600775447606,0.31770222718007446
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,9,5.145699380468017,4.385817895237765,-0.7598814852302516,3.5417920598889907,4.154635208051587,0.6128431481625967,6.324919464352464,6.591446272567854,0.26652680821538954
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,10,4.679487283530633,3.9018876091577956,-0.7775996743728371,4.21292217841048,4.845997425776943,0.6330752473664631,6.373483392907345,6.6522600039321365,0.27877661102479134
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,11,4.284607807885102,3.4993626893123886,-0.7852451185727136,4.885648199864306,5.5401173988619234,0.6544691989976172,6.358795169260938,6.644119667133292,0.28532449787235326
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,12,3.9582429438047044,3.171505964983396,-0.7867369788213083,5.554210628988898,6.23071625012534,0.6765056211364424,6.295692145803937,6.585814519764719,0.29012237396078255
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,13,3.6945214455148063,2.900354353260679,-0.7941670922541273,6.214285227330123,6.913245708330322,0.6989604810001993,6.199114963317585,6.47622822526968,0.2771132619520955
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,14,3.478991815039615,2.6717379706768054,-0.8072538443628097,6.86292249558764,7.582928868929713,0.7200063733420734,6.084356149497525,6.3506053400619855,0.2662491905644604
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,15,3.30048959532803,2.482392876958939,-0.818096718369091,7.498610003154312,8.238486332910071,0.7398763297557593,5.923563997768198,6.201725918793182,0.27816192102498327
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,16,3.1518011132957366,2.3247052601500773,-0.8270958531456594,8.11699058601323,8.877853840054485,0.7608632540412543,5.7516311355394345,6.028978854442942,0.2773477189035072
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,17,3.0253452344445755,2.1923443299075105,-0.833000904537065,8.717133746035103,9.49885374658757,0.7817200005524683,5.583927106589962,5.83742788161429,0.2535007750243281
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,18,2.9181682633499353,2.085194470949655,-0.8329737924002805,9.299621551029048,10.099813827567658,0.8001922765386098,5.39336630226047,5.655690003316021,0.2623237010555508
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,19,2.8276754853157886,2.000437021415799,-0.8272384638999895,9.862306083575533,10.681900284876491,0.8195942013009585,5.204288099287857,5.450998120222214,0.24671002093435668
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,20,2.7519308444654182,1.92909164751907,-0.8228391969463482,10.405457378061982,11.242928460527196,0.8374710824652141,5.017616810439907,5.236866531333123,0.2192497208932167
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,21,2.688546303087473,1.8708967032398816,-0.8176495998475914,10.92941818230608,11.782062966041622,0.852644783735542,4.834211147982407,5.029396746563607,0.1951855985812001
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,22,2.632862860108629,1.8230848722135675,-0.8097779878950615,11.434578646333108,12.300055714411485,0.865477068078377,4.653550321803191,4.823114769722043,0.1695644479188516
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,23,2.584820075401353,1.7804728318856753,-0.8043472435156775,11.921276342107546,12.797068420707546,0.8757920786,4.465991083074253,4.63085463836188,0.16486355528762697
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,24,2.5429935614455554,1.7432189818427826,-0.7997745796027729,12.388872755651164,13.274547511649303,0.8856747559981386,4.286307163622931,4.443364548323478,0.15705738470054698
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,25,2.5075091981143687,1.71148654872267,-0.7960226493916986,12.838207785549145,13.733015581290289,0.8948077957411442,4.1100866916224446,4.257090765127305,0.14700407350486078
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,26,2.4784954227258127,1.6834441864222802,-0.7950512363035325,13.26968120370114,14.172624728949984,0.902943525248844,3.93649117701798,4.075102926007787,0.1386117489898071
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,27,2.4533661755915244,1.6592043134046761,-0.7941618621868483,13.68358758010234,14.59383494590216,0.9102473657998189,3.7634607225956835,3.90304244004518,0.13958171744949643
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,28,2.4318519223076134,1.638616901761037,-0.7932350205465764,14.080013269501393,14.997669125559327,0.9176558560579338,3.5963416236683288,3.737386128358777,0.14104450469044805
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,29,2.4140259614600237,1.621793252330404,-0.7922327091296197,14.459579861399078,15.384798762448696,0.9252189010496181,3.4348144527668554,3.576003091916271,0.1411886391494157
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,30,2.3999630907941385,1.6063765504225742,-0.7935865403715643,14.822877620148603,15.755662801153818,0.9327851810052152,3.2787184995472876,3.4200897954971876,0.14137129594990006
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,31,2.387978339067272,1.592409713469491,-0.795568625597781,15.17046682638886,16.110820187102092,0.9403533607132317,3.131896836277189,3.270195966983148,0.1382991307059589
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,32,2.3766165942843553,1.579936971966793,-0.7966796223175623,15.503280053235954,16.450885203717036,0.9476051504810812,2.9912084299083395,3.1260131104746174,0.13480468056627792
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,33,2.36589100045096,1.5690039093993389,-0.7968870910516213,15.821935879030235,16.776441661211578,0.954505782181343,2.856378213246793,2.9872454656929595,0.13086725244616648
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,34,2.355815005269707,1.5596575039015321,-0.796157501368175,16.12702548642929,17.088044181665595,0.9610186952363051,2.727129248962269,2.853609399433878,0.12648015047160888
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,35,2.346402368832452,1.55194617121559,-0.794456197616862,16.419112477973698,17.38621942360379,0.9671069456300927,2.6031967602577923,2.7248328233145847,0.12163606305679231
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,36,2.33766717269412,1.5459198089667825,-0.7917473637273376,16.69873409479473,17.671467248713356,0.9727331539186252,2.484327574971035,2.600654636615627,0.11632706164459172
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,37,2.329623829253098,1.5416298422168868,-0.7879939870362112,16.966402379809466,17.944261833222527,0.9778594534130605,2.370279594414624,2.480824193142997,0.11054459872837263
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,38,2.322287085359736,1.5391292698624954,-0.7831578154972405,17.222605287829907,18.205052726347873,0.9824474385179656,2.2591370731731923,2.3651007919278317,0.10596371875463939
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,39,2.3154054511818423,1.5384727043166475,-0.7769327468651948,17.467637122594,18.454265858139735,0.9866287355457359,2.1524891968056243,2.2533558874234827,0.10086669061785836
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,40,2.3089886736817657,1.538472698302042,-0.7705159753797237,17.701951186875505,18.692304499431458,0.9903533125559534,2.050416173561151,2.1462208535666174,0.09580468000546638
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,41,2.3030467345753145,1.5384726954929624,-0.7645740390823521,17.92600888669142,18.91962963731433,0.9936207506229096,1.9527049902243494,2.043907688392143,0.0912026981677938
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,42,2.297589857569624,1.5384726934978399,-0.7591171640717842,18.140250411153488,19.136723458663283,0.9964730475097952,1.8591520519839673,1.9461993736191512,0.08704732163518392
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,43,2.2926285160057516,1.5384726918951273,-0.7541558241106243,18.345095676369993,19.34404644852171,0.9989507721517157,1.7695627542925125,1.8528886571188878,0.08332590282637531
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,44,2.2881734408400756,1.5384726905321013,-0.7497007503079742,18.54094522659912,19.542038366718856,1.0010931401197354,1.683751073118485,1.7637776144671995,0.08002654134871445
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,45,2.284235628983617,1.538472689334787,-0.7457629396488299,18.72818109449659,19.73111918064089,1.0029380861442974,1.6015391733259163,1.6786772292536212,0.07713805592770484
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,46,2.2808263520162257,1.5384726882609998,-0.7423536637552259,18.907167622273107,19.911689956032745,1.0045223337596383,1.522757034423428,1.597406992186043,0.07464995776261496
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,47,2.2779571652866424,1.5384726872840007,-0.7394844780026417,19.07825224550183,20.08413370770981,1.0058814622079808,1.4472420929109804,1.5197945182182493,0.07255242530726891
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,48,2.2756399173878608,1.5384726863855476,-0.7371672310023132,19.241766241238906,20.248816211982643,1.0070499707437364,1.3748389004944064,1.445675180903267,0.0708362804088607
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,49,2.2738867598961274,1.5384726855524833,-0.7354140743436441,19.398025442045736,20.406086782517093,1.0080613404713574,1.305398797571184,1.3748917632012998,0.06949296563011576
1043,10,0.02,0.03,6.8,4.9,16.8,14.9,50,2.272710156562691,1.5384726847749175,-0.7342374717877733,19.547330917435602,20.55627901127494,1.0089480938393365,,,
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,0,14.523680804139719,14.523680804139719,0.0,0.0,0.0,0.0,-1.5777330157477392,-0.5982677928517761,0.979465222895963
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,1,12.17275011626963,11.9648337844064,-0.20791633186322933,-0.004672725276662959,0.058908206844677125,0.06358093212134008,2.5407767356293003,2.9948610002818064,0.45408426465250606
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,2,10.179257436080137,9.84496145566577,-0.3342959804143675,0.2487617481274924,0.3398547079675325,0.09109295984004007,5.634751383107427,6.183914490873134,0.5491631077657066
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,3,8.49513168623172,8.074985192804581,-0.42014649342713817,0.69455549926559,0.8187902151813944,0.12423471591580437,7.75759493986592,8.289675269833014,0.5320803299670933
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,4,7.058196842894003,6.575578452405392,-0.48261839048861077,1.27000749201639,1.4257292864321869,0.15572179441579692,9.135692558817466,9.571287638453352,0.4355950796358865
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,5,5.83830496148959,5.30583097207934,-0.5324739894102501,1.9272601044910687,2.107624973480455,0.1803648689893862,9.964231751693216,10.49248867700067,0.5282569253074545
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,6,4.810710768855232,4.243264047288568,-0.5674467215666645,2.631263895736595,2.8421605284769385,0.21089663274034365,10.601593849235119,11.156722203653278,0.5551283544181587
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,7,3.9458509525720213,3.3653248855757725,-0.5805260669962489,3.370617411484403,3.6137292414185254,0.24311182993412217,11.03950868971934,11.519951942154247,0.48044325243490604
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,8,3.2341129601028404,2.656072378571095,-0.5780405815317455,4.133288483232803,4.403657026027048,0.2703685427942446,11.254897048745443,11.733771784928924,0.47887473618348153
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,9,2.6609383775640723,2.09246245483921,-0.5684759227248621,4.90558611979921,5.203185782366802,0.29759966256759185,11.374549213739392,11.831748438944723,0.45719922520533096
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,10,2.198188548356692,1.6556068879085184,-0.5425816604481737,5.68203967707305,6.0056392323112675,0.3235995552382178,11.371106849526166,11.781751711230205,0.41064486170403924
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,11,1.8324921944100026,1.325850600965196,-0.5066415934448065,6.45524421630185,6.802036794388528,0.34679257808667785,11.219902765363102,11.550151201878512,0.3302484365154097
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,12,1.5379229731193123,1.0887214884850667,-0.4492014846342456,7.215936247502924,7.5810363653868365,0.3651001178839124,11.034663638078012,11.235566193397583,0.2009025553195709
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,13,1.3121207951113758,0.9342872515271528,-0.37783354358422305,7.9624145720695765,8.337788450688379,0.37537387861880234,10.76119985183773,10.863764708169843,0.10256485633211199
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,14,1.1492117605072365,0.8527727798944282,-0.29643898061280827,8.689316849993219,9.069080711489505,0.3797638614962864,10.40660708070707,10.447375876033027,0.04076879532595612
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,15,1.0418126324138441,0.7932960526221136,-0.24851657979173059,9.391692823374967,9.772122621982447,0.38042979860748005,10.041400126088066,10.019604081191575,-0.02179604489649023
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,16,0.9794865337856975,0.7482323673409478,-0.23125416644474972,10.069207044572835,10.44627432538286,0.3770672808100244,9.658927203164975,9.601999580950666,-0.05692762221430847
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,17,0.9409476399316462,0.7140612185101926,-0.22688642142145365,10.720904858181513,11.092303580179447,0.37139872199793444,9.248270418469657,9.194116557348806,-0.05415386112085052
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,18,0.9266766615381283,0.6873613576821825,-0.2393153038559458,11.345107718422696,11.710920174673845,0.3658124562511489,8.837063705680283,8.796861038839562,-0.04020266684072027
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,19,0.9266766615208404,0.6683603452320953,-0.2583163162887451,11.941896797811154,12.30289617801364,0.360999380202486,8.434164708192409,8.411410509713368,-0.022754198479040255
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,20,0.9266766615104942,0.6572926737063634,-0.26938398780413086,12.511825944033689,12.869084094486084,0.3572581504523953,8.049399152677585,8.03700119287898,-0.01239795979860503
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,21,0.9266766615024548,0.6543999738027002,-0.27227668769975455,13.056104053221787,13.410287505032244,0.3541834518104565,7.681950899810036,7.6735816780044175,-0.008369221805618388
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,22,0.9266766614958347,0.6543999676362166,-0.27227669385961817,13.575885612218684,13.927262947869195,0.3513773356505112,7.331040542581159,7.324565763292311,-0.006474779288848431
1043,15,0.02,0.03,6.8,4.9,21.8,19.9,23,0.9266766614902375,0.6543999636609271,-0.2722766978293104,14.072273147400239,14.420970663025827,0.34869751562558804,6.995923753075594,6.991258150556706,-0.004665602518888257
