number_id,source_file,source_type,row,column,value,context,label
present_value_site1043_pa41.11_det_r4_c6,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,6,1.03,,
present_value_site1043_pa41.11_det_r4_c7,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,7,0.14,,
present_value_site1043_pa41.11_det_r4_c8,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,8,3.64,,
present_value_site1043_pa41.11_det_r5_c1,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,1,41.11,,
present_value_site1043_pa41.11_det_r5_c2,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,2,26.80,,
present_value_site1043_pa41.11_det_r5_c3,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,3,20,,
present_value_site1043_pa41.11_det_r5_c4,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,4,0.26,,
present_value_site1043_pa41.11_det_r5_c5,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,5,3.25,,
present_value_site1043_pa41.11_det_r5_c6,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,6,1.10,,
present_value_site1043_pa41.11_det_r5_c7,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,7,0.18,,
present_value_site1043_pa41.11_det_r5_c8,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,8,4.43,,
present_value_site1043_pa41.11_det_r6_c1,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,1,41.11,,
present_value_site1043_pa41.11_det_r6_c2,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,2,31.80,,
present_value_site1043_pa41.11_det_r6_c3,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,3,25,,
present_value_site1043_pa41.11_det_r6_c4,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,4,0.16,,
present_value_site1043_pa41.11_det_r6_c5,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,5,4.17,,
present_value_site1043_pa41.11_det_r6_c6,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,6,1.13,,
present_value_site1043_pa41.11_det_r6_c7,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,7,0.22,,
present_value_site1043_pa41.11_det_r6_c8,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,8,5.25,,
present_value_site78_pa41.11_det_r1_c1,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,1,pa,,
present_value_site78_pa41.11_det_r1_c2,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,2,pe,,
present_value_site78_pa41.11_det_r1_c3,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,3,b,,
present_value_site78_pa41.11_det_r1_c4,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,4,agricultural output value,,
present_value_site78_pa41.11_det_r1_c5,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,5,net transfers,,
present_value_site78_pa41.11_det_r1_c6,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,6,forest services,,
present_value_site78_pa41.11_det_r1_c7,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,7,adjustment costs,,
present_value_site78_pa41.11_det_r1_c8,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,8,planner value,,
present_value_site78_pa41.11_det_r2_c1,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,1,41.11,,
present_value_site78_pa41.11_det_r2_c2,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,2,6.70,,
present_value_site78_pa41.11_det_r2_c3,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,3,0,,
present_value_site78_pa41.11_det_r2_c4,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,4,3.55,,
present_value_site78_pa41.11_det_r2_c5,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,5,0.00,,
present_value_site78_pa41.11_det_r2_c6,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,6,-1.14,,
present_value_site78_pa41.11_det_r2_c7,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,7,0.05,,
present_value_site78_pa41.11_det_r2_c8,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,8,2.36,,
present_value_site78_pa41.11_det_r3_c1,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,1,41.11,,
present_value_site78_pa41.11_det_r3_c2,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,2,16.70,,
present_value_site78_pa41.11_det_r3_c3,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,3,10,,
present_value_site78_pa41.11_det_r3_c4,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,4,0.61,,
present_value_site78_pa41.11_det_r3_c5,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,5,1.40,,
present_value_site78_pa41.11_det_r3_c6,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,6,0.94,,
present_value_site78_pa41.11_det_r3_c7,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,7,0.10,,
present_value_site78_pa41.11_det_r3_c8,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,8,2.85,,
present_value_site78_pa41.11_det_r4_c1,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,1,41.11,,
present_value_site78_pa41.11_det_r4_c2,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,2,21.70,,
present_value_site78_pa41.11_det_r4_c3,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,3,15,,
present_value_site78_pa41.11_det_r4_c4,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,4,0.28,,
present_value_site78_pa41.11_det_r4_c5,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,5,2.40,,
present_value_site78_pa41.11_det_r4_c6,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,6,1.07,,
present_value_site78_pa41.11_det_r4_c7,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,7,0.15,,
